transaction_id,user_id,amount,timestamp,transaction_type,merchant,location,device_id,ip_address,status,risk_score,flags
TXN_2026_036,USR_1029,340.00,2026-09-23T12:15:00,purchase,Reliance Fresh,Mumbai,DEV_032,130.23.45.67,safe,0.10,
TXN_2026_037,USR_1030,14500.00,2026-09-23T21:30:00,withdrawal,ATM_DEL_156,Delhi,DEV_033,131.34.56.78,suspicious,0.74,"unusual_time,atm_skimming_suspected"
TXN_2026_038,USR_1031,590.00,2026-09-23T14:00:00,purchase,PayTM Mall,Online,DEV_034,132.45.67.89,safe,0.12,
TXN_2026_039,USR_1013,120000.00,2026-09-23T02:00:00,wire_transfer,Gambling Site,Malta,DEV_014,112.45.67.89,fraudulent,0.95,"unusual_time,gambling_related,high_risk_merchant,compulsive_pattern"
TXN_2026_040,USR_1032,870.00,2026-09-23T18:30:00,purchase,Shoppers Stop,Bangalore,DEV_035,133.56.78.90,safe,0.15,
TXN_2026_041,USR_1033,22000.00,2026-09-23T23:15:00,transfer,Unknown Recipient,Mobile App,DEV_036,134.67.89.01,suspicious,0.80,"unusual_time,new_payee,large_first_transaction"
TXN_2026_042,USR_1034,195.00,2026-09-23T11:45:00,purchase,Cafe Coffee Day,Chennai,DEV_037,135.78.90.12,safe,0.07,
TXN_2026_043,USR_1035,65000.00,2026-09-23T04:30:00,withdrawal,ATM_MUM_234,Mumbai,DEV_038,136.89.01.23,fraudulent,0.94,"unusual_time,card_not_present,pin_bypass_detected"
TXN_2026_044,USR_1036,480.00,2026-09-23T16:00:00,purchase,Lenskart,Online,DEV_039,137.90.12.34,safe,0.09,
TXN_2026_045,USR_1037,38000.00,2026-09-23T20:45:00,transfer,Money Mule Account,Pune,DEV_040,138.01.23.45,fraudulent,0.96,"money_laundering_suspected,layering_activity,suspicious_network"
TXN_2026_046,USR_1038,725.00,2026-09-23T13:30:00,purchase,Tanishq,Hyderabad,DEV_041,139.12.34.56,safe,0.16,
TXN_2026_047,USR_1039,51000.00,2026-09-23T06:00:00,wire_transfer,High Risk Country,Iran,DEV_042,140.23.45.67,fraudulent,0.98,"sanctions_violation,high_risk_jurisdiction,ofac_alert"
TXN_2026_048,USR_1040,310.00,2026-09-23T15:00:00,purchase,Spencer's,Kolkata,DEV_043,141.34.56.78,safe,0.11,
TXN_2026_049,USR_1041,19500.00,2026-09-23T22:30:00,withdrawal,ATM_BAN_201,Bangalore,DEV_044,142.45.67.89,suspicious,0.76,"unusual_time,behavioral_anomaly"
TXN_2026_050,USR_1042,650.00,2026-09-23T17:15:00,purchase,PVR Cinemas,Mumbai,DEV_045,143.56.78.90,safe,0.13,
