transaction_id,user_id,card_id,merchant_id,merchant_name,merchant_category,amount,currency,timestamp,device_id,device_type,ip_address,location,city,country,status,fraud_score,velocity_24h,unusual_time,unusual_location,cvv_provided,3ds_auth,account_age_days,previous_fraud
TXN_20240923011,USER_10004,CARD_1004,MERCH_5011,Hilton Hotels,TRAVEL,450.00,USD,2024-09-23T09:15:00Z,DEV_D001,desktop,192.168.4.100,Miami FL,Miami,USA,COMPLETED,0.18,2,false,false,true,true,90,false
TXN_20240923012,USER_10004,CARD_1004,MERCH_5012,Suspicious Site,GAMBLING,3500.00,USD,2024-09-23T02:30:00Z,DEV_X888,mobile,198.51.100.5,Unknown,Unknown,Russia,DECLINED,0.98,3,true,true,false,false,90,false
TXN_20240923013,USER_10005,CARD_1005,MERCH_5013,CVS Pharmacy,PHARMACY,67.89,USD,2024-09-23T12:00:00Z,DEV_E001,mobile,192.168.5.120,Boston MA,Boston,USA,COMPLETED,0.04,1,false,false,true,true,720,false
TXN_20240923014,USER_10005,CARD_1005,MERCH_5014,Netflix,SUBSCRIPTION,15.99,USD,2024-09-23T13:00:00Z,DEV_E001,mobile,192.168.5.120,Boston MA,Boston,USA,COMPLETED,0.02,2,false,false,true,true,720,false
TXN_20240923015,USER_10005,CARD_1005,MERCH_5015,Spotify,SUBSCRIPTION,9.99,USD,2024-09-23T13:05:00Z,DEV_E001,mobile,192.168.5.120,Boston MA,Boston,USA,COMPLETED,0.02,3,false,false,true,true,720,false
TXN_20240923016,USER_10006,CARD_1006,MERCH_5016,Tesla Charging,AUTOMOTIVE,45.00,USD,2024-09-23T16:00:00Z,DEV_F001,car,192.168.6.50,Austin TX,Austin,USA,COMPLETED,0.05,1,false,false,true,false,450,false
TXN_20240923017,USER_10006,CARD_1006,MERCH_5017,Home Depot,HOME_IMPROVEMENT,567.89,USD,2024-09-23T10:30:00Z,DEV_F001,mobile,192.168.6.50,Austin TX,Austin,USA,COMPLETED,0.12,2,false,false,true,true,450,false
TXN_20240923018,USER_10006,CARD_1006,MERCH_5018,Crypto Exchange,CRYPTO,10000.00,USD,2024-09-23T03:00:00Z,DEV_X777,desktop,203.0.113.1,Unknown,Unknown,China,PENDING,0.99,3,true,true,false,false,450,true
TXN_20240923019,USER_10007,CARD_1007,MERCH_5019,McDonald's,FAST_FOOD,8.99,USD,2024-09-23T07:30:00Z,DEV_G001,mobile,192.168.7.80,Seattle WA,Seattle,USA,COMPLETED,0.02,1,false,false,true,false,200,false
TXN_20240923020,USER_10007,CARD_1007,MERCH_5020,Uber,TRANSPORTATION,25.50,USD,2024-09-23T22:00:00Z,DEV_G001,mobile,192.168.7.80,Seattle WA,Seattle,USA,COMPLETED,0.08,2,false,false,true,true,200,false
TXN_20240923021,USER_10008,CARD_1008,MERCH_5021,Sephora,BEAUTY,234.00,USD,2024-09-23T15:00:00Z,DEV_H001,mobile,192.168.8.90,San Francisco CA,San Francisco,USA,COMPLETED,0.10,1,false,false,true,true,600,false
TXN_20240923022,USER_10008,CARD_1008,MERCH_5022,Nordstrom,RETAIL,678.50,USD,2024-09-23T15:30:00Z,DEV_H001,mobile,192.168.8.90,San Francisco CA,San Francisco,USA,COMPLETED,0.15,2,false,false,true,true,600,false
TXN_20240923023,USER_10008,CARD_1008,MERCH_5023,Louis Vuitton,LUXURY,4500.00,USD,2024-09-23T16:00:00Z,DEV_H001,mobile,192.168.8.90,San Francisco CA,San Francisco,USA,COMPLETED,0.35,3,false,false,true,true,600,false
TXN_20240923024,USER_10009,CARD_1009,MERCH_5024,PayPal Transfer,P2P,500.00,USD,2024-09-23T11:30:00Z,DEV_I001,mobile,192.168.9.100,Denver CO,Denver,USA,COMPLETED,0.08,1,false,false,true,true,300,false
TXN_20240923025,USER_10009,CARD_1009,MERCH_5025,Venmo Transfer,P2P,200.00,USD,2024-09-23T11:45:00Z,DEV_I001,mobile,192.168.9.100,Denver CO,Denver,USA,COMPLETED,0.06,2,false,false,true,true,300,false
TXN_20240923026,USER_10009,CARD_1009,MERCH_5026,Zelle Transfer,P2P,1000.00,USD,2024-09-23T12:00:00Z,DEV_I001,mobile,192.168.9.100,Denver CO,Denver,USA,COMPLETED,0.12,3,false,false,true,true,300,false
TXN_20240923027,USER_10010,CARD_1010,MERCH_5027,Costco,WHOLESALE,345.67,USD,2024-09-23T14:00:00Z,DEV_J001,mobile,192.168.10.110,Phoenix AZ,Phoenix,USA,COMPLETED,0.09,1,false,false,true,true,800,false
TXN_20240923028,USER_10010,CARD_1010,MERCH_5028,Sam's Club,WHOLESALE,278.90,USD,2024-09-23T14:30:00Z,DEV_J001,mobile,192.168.10.110,Phoenix AZ,Phoenix,USA,COMPLETED,0.08,2,false,false,true,true,800,false
TXN_20240923029,USER_10010,CARD_1010,MERCH_5029,Gas Station,GAS,55.00,USD,2024-09-23T18:00:00Z,DEV_J001,mobile,192.168.10.110,Phoenix AZ,Phoenix,USA,COMPLETED,0.04,3,false,false,true,false,800,false
TXN_20240923030,USER_10010,CARD_1010,MERCH_5030,Unknown ATM,ATM_WITHDRAWAL,2000.00,USD,2024-09-23T04:00:00Z,DEV_X666,atm,172.16.0.1,Unknown,Unknown,Nigeria,DECLINED,0.99,4,true,true,false,false,800,false
